"transaction_id,order_date,customer_id,product_category,product_name,quantity,unit_price,region,payment_status"
"T1001,2023-01-15,C401,Electronics,Smart Watch,2,150.00,North,Paid"
"T1002,2023-05-22,C402,Computing,Laptop Pro,1,1200.00,West,Paid"
"T1003,2023-08-11,C403,Accessories,Wireless Mouse,5,25.00,South,  unpaid  "
"T1004,2024-02-02,C404,Electronics,Smart Watch,1,150.00,East,Paid"
"T1005,2024-06-19,C401,Accessories,Mechanical Keyboard,2,80.00,North,Paid"
"T1006,2024-11-25,C405,Computing,Gaming Monitor,1,350.00,West,Refunded"
"T1007,2025-01-10,C402,Electronics,Smart Watch,3,150.00,West,Paid"
"T1008,2025-04-14,C403,Computing,Laptop Pro,1,1200.00,South,Paid"
"T1009,2025-07-22,C406,Accessories,Wireless Mouse,10,25.00,North,Paid"
"T1010,2025-12-05,C404,Electronics,Noise Cancelling Headphones,2,200.00,East,Paid"
